INDEX	GRID	WORLD
0	0.000000,0.000000	1.000000,1.000000
905164	198.000000,1330.000000	199.000000,1331.000000
897001	204.000000,1318.000000	205.000000,1319.000000
897008	218.000000,1318.000000	219.000000,1319.000000
897015	232.000000,1318.000000	233.000000,1319.000000
892939	246.000000,1312.000000	247.000000,1313.000000
882051	246.000000,1296.000000	247.000000,1297.000000
876613	258.000000,1288.000000	259.000000,1289.000000
879342	272.000000,1292.000000	273.000000,1293.000000
871180	280.000000,1280.000000	281.000000,1281.000000
871187	294.000000,1280.000000	295.000000,1281.000000
871194	308.000000,1280.000000	309.000000,1281.000000
872562	322.000000,1282.000000	323.000000,1283.000000
882089	322.000000,1296.000000	323.000000,1297.000000
887539	334.000000,1304.000000	335.000000,1305.000000
895709	342.000000,1316.000000	343.000000,1317.000000
902519	352.000000,1326.000000	353.000000,1327.000000
905248	366.000000,1330.000000	367.000000,1331.000000
898446	372.000000,1320.000000	373.000000,1321.000000
888920	374.000000,1306.000000	375.000000,1307.000000
880757	380.000000,1294.000000	381.000000,1295.000000
882125	394.000000,1296.000000	395.000000,1297.000000
884853	406.000000,1300.000000	407.000000,1301.000000
880777	420.000000,1294.000000	421.000000,1295.000000
880784	434.000000,1294.000000	435.000000,1295.000000
879430	448.000000,1292.000000	449.000000,1293.000000
876715	462.000000,1288.000000	463.000000,1289.000000
869916	474.000000,1278.000000	475.000000,1279.000000
860392	480.000000,1264.000000	481.000000,1265.000000
852230	488.000000,1252.000000	489.000000,1253.000000
848154	502.000000,1246.000000	503.000000,1247.000000
842716	514.000000,1238.000000	515.000000,1239.000000
833190	516.000000,1224.000000	517.000000,1225.000000
823664	518.000000,1210.000000	519.000000,1211.000000
814138	520.000000,1196.000000	521.000000,1197.000000
804609	516.000000,1182.000000	517.000000,1183.000000
796447	524.000000,1170.000000	525.000000,1171.000000
786923	530.000000,1156.000000	531.000000,1157.000000
781485	542.000000,1148.000000	543.000000,1149.000000
773324	552.000000,1136.000000	553.000000,1137.000000
771970	566.000000,1134.000000	567.000000,1135.000000
762443	566.000000,1120.000000	567.000000,1121.000000
752914	562.000000,1106.000000	563.000000,1107.000000
746114	572.000000,1096.000000	573.000000,1097.000000
737944	564.000000,1084.000000	565.000000,1085.000000
728420	570.000000,1070.000000	571.000000,1071.000000
718896	576.000000,1056.000000	577.000000,1057.000000
716181	590.000000,1052.000000	591.000000,1053.000000
706654	590.000000,1038.000000	591.000000,1039.000000
703939	604.000000,1034.000000	605.000000,1035.000000
697139	614.000000,1024.000000	615.000000,1025.000000
687614	618.000000,1010.000000	619.000000,1011.000000
678087	618.000000,996.000000	619.000000,997.000000
675372	632.000000,992.000000	633.000000,993.000000
668572	642.000000,982.000000	643.000000,983.000000
659045	642.000000,968.000000	643.000000,969.000000
657691	656.000000,966.000000	657.000000,967.000000
648164	656.000000,952.000000	657.000000,953.000000
648167	662.000000,952.000000	663.000000,953.000000
648175	678.000000,952.000000	679.000000,953.000000
652265	692.000000,958.000000	693.000000,959.000000
654994	706.000000,962.000000	707.000000,963.000000
655001	720.000000,962.000000	721.000000,963.000000
653647	734.000000,960.000000	735.000000,961.000000
653654	748.000000,960.000000	749.000000,961.000000
650939	762.000000,956.000000	763.000000,957.000000
650946	776.000000,956.000000	777.000000,957.000000
649592	790.000000,954.000000	791.000000,955.000000
